name,code_incl_expiration,ticker,shares,NACE
NTR Holding,NTRb.CO,NTRb.CO,2365371.0,27
Nunaminerals,NUNA.CO^G16 (expired),NUNA.CO^G16,27590940.0,07
Ostjydsk Bk,OJBA.CO^G18 (expired),OJBA.CO^G18,89400000.0,64
Oestasiatiske Ko,OKEAC.CO,OKEAC.CO,10055.0,70
Olicom,OLIC.CO^F10 (expired),OLIC.CO^F10,1183920743.0,68
Nasdaq SE,OMX.CO^E08 (expired),OMX.CO^E08,120640467.0,66
Valerio Therapeu,ONXEO.CO^K22 (expired),ONXEO.CO^K22,154364273.0,21
Oersted,ORSTED.CO,ORSTED.CO,420381080.0,35
Parken Sport,PARKEN.CO,PARKEN.CO,9875200.0,55
Park Street,PARKSTa.CO,PARKSTa.CO,12827637.0,68
Pharma Equity Gr,PEGRP.CO,PEGRP.CO,1227556659.0,64
Penneo,PENNEO.CO^C25 (expired),PENNEO.CO^C25,35739066.0,58
Papirfabrik Invt,PFINV.CO,PFINV.CO,9901598.0,93
Pandora,PNDORA.CO,PNDORA.CO,82000000.0,32
Potagua FLS,POFLSb.CO^H06 (expired),POFLSb.CO^H06,13777500.0,64
A/S POTAGUA,POTAb.CO^F05 (expired),POTAb.CO^F05,13777500.0,28
Prime Office,PRIMOF.CO,PRIMOF.CO,3793314.0,68
--,RADIb.CO^C04 (expired),RADIb.CO^C04,8363110.0,32
Roblon,RBLNb.CO,RBLNb.CO,1510400.0,13
Royal Unibrew,RBREW.CO,RBREW.CO,50200000.0,11
